CutOff,Modulus,VTR,Bio,xval,Line
400,5 MPa,1.2143415,0.897925849,400,5
400,5 MPa,1.023079365,0.858924988,400,1200
400,5 MPa,1.143655011,0.682320853,500,1500
400,5 MPa,1.27509186,0.883173828,600,1800
400,5 MPa,1.52045166,0.828771789,700,2100
400,5 MPa,0.719003025,0.274395838,800,2400
400,5 MPa,1.114368424,1.023727182,900,2700
400,5 MPa,1.50771696,1.193887301,1000,3000
400,5 MPa,0.916664013,0.734803487,1100,3300
400,5 MPa,1.41011118,0.995180818,1200,3600
400,5 MPa,1.57906995,1.168709372,1300,3900
400,5 MPa,0.973034825,0.503091704,1400,4200
400,5 MPa,1.81119205,1.428070269,1500,4500
500,5 MPa,1.171953699,0.980717275,0,5
500,5 MPa,1.158791706,0.835864567,100,5
500,5 MPa,0.880739158,0.718740963,200,5
500,5 MPa,0.910654004,0.518337193,300,5
500,5 MPa,1.193933313,0.897925849,400,5
500,5 MPa,0.972686589,0.858924988,500,5
500,5 MPa,1.097792469,0.682320853,500,1500
500,5 MPa,1.2585615,0.883173828,600,1800
500,5 MPa,1.44354015,0.828771789,700,2100
500,5 MPa,0.59513105,0.274395838,800,2400
500,5 MPa,1.100018712,1.023727182,900,2700
500,5 MPa,1.414412004,1.193887301,1000,3000
500,5 MPa,0.872704684,0.734803487,1100,3300
500,5 MPa,1.340183346,0.995180818,1200,3600
500,5 MPa,1.421818365,1.168709372,1300,3900
500,5 MPa,0.8370328,0.503091704,1400,4200
500,5 MPa,1.76893357,1.428070269,1500,4500
600,5 MPa,1.064864208,0.980717275,0,5
600,5 MPa,0.916127594,0.835864567,100,5
600,5 MPa,0.807171578,0.718740963,200,5
600,5 MPa,0.616834384,0.518337193,300,5
600,5 MPa,1.149431624,0.897925849,400,5
600,5 MPa,0.785833923,0.858924988,500,5
600,5 MPa,1.005443235,0.682320853,600,5
600,5 MPa,1.228067995,0.883173828,600,1800
600,5 MPa,1.202125613,0.828771789,700,2100
600,5 MPa,0.279420725,0.274395838,800,2400
600,5 MPa,1.06918426,1.023727182,900,2700
600,5 MPa,1.071115776,1.193887301,1000,3000
600,5 MPa,0.7721082,0.734803487,1100,3300
600,5 MPa,1.055788586,0.995180818,1200,3600
600,5 MPa,0.980789855,1.168709372,1300,3900
600,5 MPa,0.546710755,0.503091704,1400,4200
600,5 MPa,1.69482116,1.428070269,1500,4500
700,5 MPa,0.764296056,0.980717275,0,5
700,5 MPa,0.432891302,0.835864567,100,5
700,5 MPa,0.673248808,0.718740963,200,5
700,5 MPa,0.143450456,0.518337193,300,5
700,5 MPa,1.009317156,0.897925849,400,5
700,5 MPa,0.297425856,0.858924988,500,5
700,5 MPa,0.717635187,0.682320853,600,5
700,5 MPa,1.156586711,0.883173828,700,5
700,5 MPa,0.739832041,0.828771789,700,2100
700,5 MPa,0.07851917,0.274395838,800,2400
700,5 MPa,0.981851448,1.023727182,900,2700
700,5 MPa,0.373979232,1.193887301,1000,3000
700,5 MPa,0.60704227,0.734803487,1100,3300
700,5 MPa,0.673735192,0.995180818,1200,3600
700,5 MPa,0.51752422,1.168709372,1300,3900
700,5 MPa,0.28344687,0.503091704,1400,4200
700,5 MPa,1.581027397,1.428070269,1500,4500
800,5 MPa,0.249777936,0.980717275,0,5
800,5 MPa,0.140020822,0.835864567,100,5
800,5 MPa,0.333671776,0.718740963,200,5
800,5 MPa,0.048767228,0.518337193,300,5
800,5 MPa,0.449898422,0.897925849,400,5
800,5 MPa,0.074791607,0.858924988,500,5
800,5 MPa,0.111896364,0.682320853,600,5
800,5 MPa,0.819718011,0.883173828,700,5
800,5 MPa,0.28149355,0.828771789,800,5
800,5 MPa,0.042704645,0.274395838,800,2400
800,5 MPa,0.4673097,1.023727182,900,2700
800,5 MPa,0.134162567,1.193887301,1000,3000
800,5 MPa,0.383750485,0.734803487,1100,3300
800,5 MPa,0.252704618,0.995180818,1200,3600
800,5 MPa,0.117206034,1.168709372,1300,3900
800,5 MPa,0.104488436,0.503091704,1400,4200
800,5 MPa,1.18964024,1.428070269,1500,4500
900,5 MPa,0.070029937,0.980717275,0,5
900,5 MPa,0.068479268,0.835864567,100,5
900,5 MPa,0.079847497,0.718740963,200,5
900,5 MPa,0.033370848,0.518337193,300,5
900,5 MPa,0.074229494,0.897925849,400,5
900,5 MPa,0.039100011,0.858924988,500,5
900,5 MPa,0.044730334,0.682320853,600,5
900,5 MPa,0.2416939,0.883173828,700,5
900,5 MPa,0.069673841,0.828771789,800,5
900,5 MPa,0.02382118,0.274395838,900,5
900,5 MPa,0.071652702,1.023727182,900,2700
900,5 MPa,0.081301928,1.193887301,1000,3000
900,5 MPa,0.144516096,0.734803487,1100,3300
900,5 MPa,0.091876762,0.995180818,1200,3600
900,5 MPa,0.038547471,1.168709372,1300,3900
900,5 MPa,0.030770755,0.503091704,1400,4200
900,5 MPa,0.257376553,1.428070269,1500,4500
1000,5 MPa,0.036221109,0.980717275,0,5
1000,5 MPa,0.043071116,0.835864567,100,5
1000,5 MPa,0.022072755,0.718740963,200,5
1000,5 MPa,0.028965809,0.518337193,300,5
1000,5 MPa,0.037372719,0.897925849,400,5
1000,5 MPa,0.033316183,0.858924988,500,5
1000,5 MPa,0.030029105,0.682320853,600,5
1000,5 MPa,0.049440804,0.883173828,700,5
1000,5 MPa,0.041323511,0.828771789,800,5
1000,5 MPa,0.018675045,0.274395838,900,5
1000,5 MPa,0.036395692,1.023727182,1000,5
1000,5 MPa,0.062635096,1.193887301,1000,3000
1000,5 MPa,0.032921041,0.734803487,1100,3300
1000,5 MPa,0.022126097,0.995180818,1200,3600
1000,5 MPa,0.020725001,1.168709372,1300,3900
1000,5 MPa,0.015572192,0.503091704,1400,4200
1000,5 MPa,0.069886562,1.428070269,1500,4500
1100,5 MPa,0.029355778,0.980717275,0,5
1100,5 MPa,0.035244013,0.835864567,100,5
1100,5 MPa,0.018494865,0.718740963,200,5
1100,5 MPa,0.026601595,0.518337193,300,5
1100,5 MPa,0.026415855,0.897925849,400,5
1100,5 MPa,0.029144726,0.858924988,500,5
1100,5 MPa,0.024645187,0.682320853,600,5
1100,5 MPa,0.028096603,0.883173828,700,5
1100,5 MPa,0.033315438,0.828771789,800,5
1100,5 MPa,0.016589313,0.274395838,900,5
1100,5 MPa,0.026866495,1.023727182,1000,5
1100,5 MPa,0.048312953,1.193887301,1100,5
1100,5 MPa,0.013141885,0.734803487,1100,3300
1100,5 MPa,0.013502435,0.995180818,1200,3600
